,fave1,fave2,fave3,fave4,fave5,user_id,fave6,fave7,fave8,fave9,fave10
23,"Uluru, desert, Australia, Outback","Australia, Royal Theatre, Tasmania, stage, audience","Australia, Opera House, Sydney, Sydney Opera House","Ministry, homeless friends, friends, Chicago","South Africa, ocean, mountains, travel, missions trip",U0024,,,,,
24,Basel Switzerland city water travel europe,Castellucio Italy city travel mountains,Italy trees sky travel europe,pony sweater mountains water animals,duckling swimming water animals yellow,U0025,,,,,
25,cuteboy niallhoran 1D beautiful,library books magical reading,stars purple pretty,disney childhood castle movies,hero sweet disney boy,U0026,,,,,
26,"family, love","soccer, sports, liverpool, premier league","javascript, internet, programming","computers, technology","university, learning, waterloo",U0027,,,,,
27,GTAV XboxOne,Levi's522 Jeans,BoseBluetooth,Samsung6Edge,iPhone6Plus,U0028,,,,,
28,"children's playground, a mini train ride, at night",sixth birthday,play so batman,play so batman,play so batman,U0029,,,,,
29,"eye,","dusk,","roar,","memory,","weather,",U0030,,,,,
30,Believe in yourself,you are what you listen to,believe in yourself,traveling,education,U0031,flowers,,,,
31,"Daughter, angel, 3 y.o., French braids, 1996","Red and blue pits, loving, protective, puppy eyes, playful","Son, away, streets, oldest, hard","Deddy, hustler, whistles, old school, sca","Son, university, preppy, youngest, buff",U0032,,,,,
32,"water,","house,","grand,","goods,","foot,",U0033,,,,,
33,"happiness,","sun,","daily life,","cloud,","oil painting,",U0034,,,,,
34,Mexican Soccer team,IPad Mini 2,Football,Pizza,TV HD,U0035,,,,,
35,"unusual,",note,"skyline,","ups and downs,",puppet,U0036,,,,,
36,"mood,emotions","colourful,butterfly","wind,clouds","castle,sun","sakura,nature,trees",U0037,,,,,
37,hogwarts letter,"assassin's creed, quote","brasov, romania, lord of the rings","national geographic, moss swamp, romania","victoria of samotrake, sculpture, louvre",U0038,,,,,
38,crossdressing japanese school uniform,fayewong chinese blush,crossdressing tail skidrow ears kitty,overalls paint,assassin shi ninja,U0039,,,,,
39,canon lens photography,photography camera olympus,abstract blue photography,fisheye lens camera wide,camera body mirrorless photography,U0040,,,,,
40,runners ducks upright funny alert,yellow head parrot excited crazy,wild turkeys awesome beautiful,pilgrims geese curious flock,pileated woodpecker beautiful awesome,U0041,,,,,
41,pup,munchkin,us,cycling,happy,U0042,,,,,
42,games,animals,comics,friends,family,U0043,,,,,
43,film photography,chiptole burritos rice guacamole,family bonding,skizzymars music concerts,photography film,U0044,,,,,
44,me,east,composite,me me me,sis,U0045,candals,,,,
45,"pizza, dinner, homemade","puppies, dogs",birds,"EMS, 911, rescue","quotes, inspiring",U0046,,,,,
46,"love, birthday, couple, happy","kitten, tiny, door, black","hellokitty, halloween, cute, wallpaper","sushi, fresh, fish, art, food","cherryblossoms, university, trees, flowers, campus, beautiful",U0047,"painting, house, vangogh, night","friends, happy, diversity, unity","mattberry, sexy, musician, man, guitar, concert",,
47,friends,puppies,potatohttp://rating-db.org/survey/,fam,bffs,U0048,,,,,
48,Pageant Dresses,Remote controlled stuff,wii u games,books,iphone,U0049,,,,,
49,Cute studio apartment,Best friends on trip,Cat,World War II Soldier,Little Girl on Beach,U0050,,,,,
50,party elegance memories,enduro ktm mud,simmetry nature landscape,judo sport technique,breakingbad heisenberg stencil,U0051,,,,,
51,grouptherapy aboveandbeyond music album,deadmau5 joel music edm,rainbow flag pride,sports balls basketball puck birdie,lion leo animal,U0052,,,,,
52,ebay online shopping cheap auction deals used new vintage everything,festival fun lights summer,nature waterfall trees beautiful,vintage bellbottoms tiedye hippie comfortable pants,crystals amethyst metaphysical,U0053,,,,,
53,Doctor WHo,Rats Pets,Food,Research,Music,U0054,,,,,
54,mumford puli dog snow winter,mumford puli dog fall love,montreal lights absinthe,mumford puli dog canada maple leaf,cake hazelnut buttercream,U0055,motorcycle power vmax hooligan,,,,
55,Jet_fighter typhoon,weightlifting klokov clean_and_jerk,squat_stand training_equipment,AB_DeVilliars Mr360 batting,spartan period_movies,U0056,,,,,
56,Home Sunset Skyline,Food Breakfast British,Ice Cream Chocolate Sweet,Books Reading Literature,Movies Disney Stories,U0057,,,,,
57,flowers,rain,leaves,goddess,theatre masks,U0058,,,,,
58,"dog, benny, pet, cute","makeup, eye, pretty","flowers, colours, beautiful","music, dj, concert, crowd","dog, sleepy, pug, cozy",U0059,,,,,
59,mountain peacefull,mountain peacefull,mountain peacefull,sea peacefull,sea peacefull,U0060,,,,,
60,TAPIOCA FISH FAVORITE-DISH SPICY,HANDMADE CHOCOLATES DESSERT,GIRL TOY HAPPINESS GIFT,YELLOW ROSE FLOWER LOVE,YOGA MEDITATION EXERCISE,U0061,,,,,
61,1,2,3,4,5,U0062,,,,,
62,working out boxing fit,job travel passion,relax breathe new,love happiness marriage,drive fun friends,U0063,,,,,
63,exploring the world,family time,"simplicity, naturalness","tranquility, steadiness","fun, adventure",U0064,,,,,
64,pool summer girls,forest greeney mist,selena gomez celebrity singer,flower wild green,telephone home office,U0065,,,,,
65,photos memories,mountains nature beauty,konstanz germany imperia,nicaragua nature beauty,berlin wall freedom cold war,U0066,,,,,
66,"Night, peace, boat, night dream, nature way silence","sky,clouds,boat, fantastic sea, enjoying nature","superb sky with moon, greeny grass, natural look, wonderfull god creation","technology, plane, globe sea, buildings, greeny way","dream girl, nice look, girl, with butterflies",U0067,,,,,
67,"boobs, cleavage, women, lesbian interest","imgur, funny, humour, favourite site","Moon-Moon, meme, funny, funny animals, humour","free, cheap, money-saving, deal","steinem, hero, women, big hair, equality",U0068,,,,,
68,3 penguins standing ihttp://rating-db.org/survey/n a circle,autumn-coloured trees and their reflection in a lake,"garden, bridge, pond, boat","trees, mountain, fiery sunset","waterfall, rocks, moss, lake",U0069,,,,,
69,"german shepherd, dog, loyal, companion","ocean, bournemouth","winter, cross country skiing","reading, cozy, fireplace","travel, airplane",U0070,,,,,
70,"summer,fun,sun,sand,beach","fruits,comfort foods,health,thankful","christmas,happy,holidays,fun,christ","property,house,home,investment","snow,fun,tobogganing,happy",U0071,,,,,
71,Special Olympics disability sport logo,snail primrose flower spring garden,cat pet sleepy animal,Andy Murray tennis sport,Cornwall beach sea holiday Fistral,U0072,,,,,
72,soccer,hockey,movies,music,movies,U0073,,,,,
73,baby swimming,bike,castle chester-le-street,Newcastle bridges river,Whitley Bay lighthouse sea,U0074,,,,,
74,Warm Fire Relaxing Comfortable,Family Happy Holiday,Holiday Calm Peace,Love Partner Calm,Baby Funny,U0075,,,,,
75,"cats, pets","guitar, ibanez, instrument","cookies, oat, raisin, food","blanket, pug, fleece","husky, dog, pet",U0076,,,,,
76,Northern lights Norway colour sky,pine marten animal baby cute,reading paradise floating sea blue sky,love couple romance light outdoors,sky blue orange sunset,U0077,,,,,
77,live music stage guitarist guitar art musician,london skyline sky city buildings sunset sun,fire opal yellow natural beauty,lilac berry blueberry treat dessert food,office nature sea peaceful,U0078,,,,,
78,"Computer, gaming","Money, currency","Music, dancing, sound","love, friends, family","movies, show, entertainment",U0079,,,,,
79,"dog, shihtzu, cute, xmas, jumper","cat, tom, ginger, fire, cute","biscuits, xmas, kids, tasty, star","cake, rainbow, layer, colour, yummy","converse, cool, sequin, trendy, chucks",U0080,,,,,
80,BABY COT EQUIPMENT NAPPIES BEDROOM,TEDDY COW TOY SMALL SOFT,CAKE 30TH FISHING GREEN,FLOWERS SPRING COLOURFUL,CHRISTMAS DECORATION LIVING ROOM,U0081,,,,,
81,Crossfit Bodybuilding No Gym,Mix Martial Arts Fitness Bodybuilding,Massive Open Online Courses For Free Skill Develoment Education,Balanced Diet Fitness Health Lifestyle,Freelance Work Engineer Mechanical,U0082,Web Series Entertainment,,,,
82,dogs friends cuteness,holidays relaxation beach,travel adventure flying,foodies seaside exploration,geek obsession entertainment,U0083,,,,,
83,parsnips allotment growing vegetables food,food meals family time,cat izzy pet love,money finances freedom personal,tom katy couple love marriage married,U0084,,,,,
84,"Deadpool, Ryan Reynolds, Funny, Comedy","Husband, Son, Love, Family","Darth Vader, Funny, Star Wars","Yashin, The Renegades, Favourite Album","Wife, Son, Husband, Family, Fun",U0085,"Younique, Work, Make Up, Accomplishments",,,,
85,my wife and son,my son,my favorite sport,my favorite city,my favorite winter sport,U0086,,,,,
86,Ethnic Jewellery Traditional Studds,Flowers Bouquet Vase,Vegetarian Food Garnishing,Riverside Scenary Village,Fashion Traditional Churidaar,U0087,,,,,
87,roses flowers,pretty idols of lord ganesha,bbq chicken pizzas,tubetops,phonebooth movie movies,U0088,,,,,
88,twin pics,joy,batgirl,eagles skins,plank it up,U0089,,,,,
89,baby soap tears growup,beekeepers fencing fight,otter water gun readiness,shadow misty kitties fluffy,latin xkcd hoverboard,U0090,,,,,
90,Sloth cute jungle,Cat cute gray,Merganser funny bird water,Purse Scotland plaid,Baby cute family,U0091,,,,,
91,my son,funny instagram,fake friends,chilling,exercising,U0092,,,,,
92,"kitten, love, pet, happiness, cute","piglet, baby, animal, cute, vegetarian","sea turtle, ocean, sea, swimming, snorkeling, nature","machu picchu, peru, travel, spirituality, history","bali, indonesia, travel, peace, scenery, spiritual",U0093,,,,,
93,"rhesus macaque, monkey, mother, infant","filipino, children, philippines, gwapo","lds, latter-day saint, mormon, salt lake city, utah","utah, arches, delicate arch, beUTAHful","the book of mormon, bom, lds, latter-day saint, mormon",U0094,,,,,
94,"coffee, drinks","butterflies, origami, art","horses, animals","books, reading, literature","cupcakes, food, baking",U0095,"hiking,walking,outdoors","travel, scenery","games,entertainment","violin, music","dress,fashion"
95,cats,lifehouse,mini cooper,tito's vodka,"saguaro cactus, arizona desert",U0096,,,,,
96,Kita cats cuddles naps,camping wilderness quiet nature,smoking weed relaxation,Kevin Smith movies funny smart,watching ocean waves water,U0097,,,,,
97,"fashion, jewelry, girl, inspiration","home, minimal, house, kitchen, inspiration, art","festival, girl, fashion, palm springs, party, hip, hipster","hipster, art, sexy, girl, fashion, lipstick, festival","fashion, active, activewear, leggings, body, sexy, healthy",U0098,"flat lay, fashion, minimal","door, architecture, bike","bedroom, house, inspiration, minimal, art, bed","bathroom, inspiration, minimal, black and white, bathtub",
98,"gadgets, phones, tablets, laptops, cameras",robots inventions sci-fi,iconic leader steve jobs,cosmos space,community service red cross,U0099,,,,,
99,beach holiday resort,movie crime thriller detective,comedy improv humour,school education,food restaurant western,U0100,,,,,
100,marial,antigua steeples,golden frog,denver snow,rville house,U0101,,,,,
101,"disney, animals, friends","disneyland, disney","cat, pets","mountains, country","family, cousins, food",U0102,,,,,
102,Brass Band,Chicago Marathon,Snowboarding in Colorado,Trumpet,Waterskiing,U0103,,,,,
103,my cat,art,travel,books,friend,U0104,,,,,
104,Kentucky Country,60's Kentucky,Well Kentucky,Kentucky Rights,Kentucky Family History,U0105,,,,,
105,"Beach, Summer, Vacation, Beach Chair, Umbrella","Yorkie, Yorkshire, Yorkshire Terrier, Puppy, Dog, Cute",Dance,"Smoothies, Strawberry, Smoothie, Fruits, Healthy, Shake","Sam Smith, Music, Artist, Grammy, Soulful, Singer",U0106,,,,,
106,"art, artists, painting","coffee, capuccino, aspresso","music, live music, rock and roll","pizza, italian food","film, noir, old films",U0107,,,,,
107,success,soccer,cooking,mexico,birthday,U0108,,,,,
108,Beauty,Goofy Memes,Our Silly Dog,Fantastic Art,Swanky Car,U0109,,,,,
109,"kids, fun","food, free","babies,halloween","fruit, picture","football, fun",U0110,,,,,
110,Sam and Grady are cuddle bugs!,My awesome Son and Granddaughter,My Lucy girl!,My precious Granddaughter,Myself and my Granddaughter,U0111,,,,,
111,Local organic fair trade,Study dedicated,Communication family,Nutrition care environment,Mobility independence,U0112,,,,,
112,Dog Puppy Cute,Adidas Yeezy Shoes,Burgers Food,Cali San Francisco Golden,Washington Capitol,U0113,,,,,
113,"Calvin, cat, lap, snuggle","Florida, beach, hometown","Colorado, boating, reservoir, camping, gorgeous, mountains","space, NASA, aurora borealis, international space station","Denver, Colorado, home, skyline, city, mountains",U0114,"University of Florida, Gators, football, college",,,,
114,"food, breakfast, american breakfast, ketchup, scrambled eggs, hashbrown, denny's","cat, cat towers,","botany, cellular biology, science, biology","cheesecake, strawberry","pokemon, art, drawing, love",U0115,,,,,
115,"happy girl, cute, sassy, fashionable","cute, happy girl, bundled, snowy","cute, funny, couple, kissing, love","colorful, artistic, contrast, abstract","beautiful, staring, big eyes, stunning, toddler, girl",U0116,,,,,
116,Beautiful sunset in Arizona,Crazy picture of my daughter and me in Las Vegas,Normal Picture of my daughter and me in Las Vegas,A nice statement about being alone.,A truck stop in the mid-west/,U0117,One of my crazy cats,,,,
117,marvel ironman mcu superhero,exo kpop music celebrity,kriswu celebrity kpop actor chinese-canadian,actor romanian-american photoshoot wintersolider mcu bucky,civilwar marvel mcu captainamerica ironman,U0118,,,,,
118,mom's Toyota Corolla,sis at dinner,birthday brunch,mom's Barrie house,old family home,U0119,,,,,
119,nike,Muhammad Ali,House of Cards,Peace,Hidden Gems,U0120,,,,,
