,user_id,Most_read_books
230,U0064, Biographies
231,U0064, Autobiographies
232,U0065,Poetry
233,U0066,Romance
234,U0066, Guide
235,U0066, Biographies
236,U0067,Romance
237,U0067, Drama
238,U0067, Self help
239,U0067, Guide
240,U0067, Religious
241,U0067, Science
242,U0067, Prayer books
243,U0067, Encyclopedias
244,U0067, Autobiographies
245,U0068,Self help
246,U0069,Self help
247,U0069, Romance
248,U0070,Mystery
249,U0070, Drama
250,U0070, Biographies
251,U0070, Science fiction
252,U0070, Self help
253,U0070, Travel
254,U0070, History
255,U0071,Science fiction
256,U0072,Science fiction
257,U0072, Action and Adventure
258,U0072, Drama
259,U0073,Encyclopedias
260,U0073, Autobiographies
261,U0073, Biographies
262,U0073, Action and Adventure
263,U0073, Mystery
264,U0074,Romance
265,U0075,Science fiction
266,U0075, Romance
267,U0075, Self help
268,U0075, Diaries
269,U0075, Journals
270,U0075, Fantasy
271,U0075, Erotic fiction
272,U0076,Horror
273,U0077,History
274,U0078,Science fiction
275,U0078, Self help
276,U0078, Diaries
277,U0078, Journals
278,U0079,Series
279,U0080,Series
280,U0080, Action and Adventure
281,U0081,Autobiographies
282,U0082,Religious
283,U0082, Self help
284,U0082, Math
285,U0082, Science
286,U0083,Drama
287,U0083, Science fiction
288,U0083, Mystery
289,U0084,Drama
290,U0084, Action and Adventure
291,U0084, Romance
292,U0084, Self help
293,U0084, Guide
294,U0084, Biographies
295,U0084, Anthologies
296,U0084, Children's
297,U0084, Cookbooks
298,U0085,Series
299,U0086,Horror
300,U0087,Science fiction
301,U0087, Action and Adventure
302,U0087, Romance
303,U0087, Travel
304,U0087, Science
305,U0087, Religious
306,U0087, Fantasy
307,U0088,Science fiction
308,U0088, Guide
309,U0088, Encyclopedias
310,U0088, Cookbooks
311,U0088, Comics
312,U0089,Mystery
313,U0089, Biographies
314,U0090,Horror
315,U0090, Mystery
316,U0090, Satire
317,U0090, Drama
318,U0090, Action and Adventure
319,U0090, Science fiction
320,U0090, Series
321,U0090, Fantasy
322,U0090, Poetry
323,U0090, Comics
324,U0091,Action and Adventure
325,U0091, Guide
326,U0092,Horror
327,U0093,Self help
328,U0093, Travel
329,U0093, Drama
330,U0093, Guide
331,U0094,Fantasy
332,U0095,Science fiction
333,U0095, Drama
334,U0095, Fantasy
335,U0096,Drama
336,U0096, Self help
337,U0096, History
338,U0096, Anthologies
339,U0096, Poetry
340,U0096, Series
341,U0096, Cookbooks
342,U0096, Biographies
343,U0096, Autobiographies
344,U0097,Satire
345,U0097, Self help
346,U0097, Mystery
347,U0097, Horror
348,U0098,Self help
349,U0098, Autobiographies
350,U0098, Travel
351,U0098, Guide
352,U0098, Art
353,U0099,Self help
354,U0099, Biographies
355,U0100,Mystery
356,U0100, Action and Adventure
357,U0100, Math
358,U0100, Fantasy
359,U0100, Self help
360,U0100, Religious
361,U0101,Mystery
362,U0101, Travel
363,U0101, Cookbooks
364,U0101, Encyclopedias
365,U0102,Drama
366,U0102, Comics
367,U0103,Action and Adventure
368,U0104,Drama
369,U0104, Poetry
370,U0104, Science
371,U0105,Romance
372,U0105, Self help
373,U0105, Autobiographies
374,U0106,Mystery
375,U0107,Science fiction
376,U0107, Satire
377,U0107, Mystery
378,U0107, Horror
379,U0107, Self help
380,U0107, Guide
381,U0107, Science
382,U0107, Comics
383,U0107, Art
384,U0107, Cookbooks
385,U0107, Biographies
386,U0108,Drama
387,U0108, Action and Adventure
388,U0109,Drama
389,U0109, Horror
390,U0110,Drama
391,U0110, Mystery
392,U0110, Children's literature
393,U0111,Guide
394,U0111, Prayer books
395,U0112,Action and Adventure
396,U0113,Mystery
397,U0114,Science fiction
398,U0114, Erotic fiction
399,U0114, Drama
400,U0115,History
401,U0115, Science
402,U0115, Action and Adventure
403,U0116,Series
404,U0116, Romance
405,U0116, Fantasy
406,U0116, Trilogies
407,U0117,Drama
408,U0117, Romance
409,U0117, Mystery
410,U0118,Drama
411,U0118, Action and Adventure
412,U0118, Romance
413,U0118, Mystery
414,U0118, Comics
415,U0118, Series
416,U0118, Trilogies
417,U0118, Fantasy
418,U0119,Satire
419,U0119, Romance
420,U0119, Biographies
421,U0120,Self help
