user_id,most_watched_movies
U0063, Biography
U0064,Adventure
U0064, Action
U0064, Comedy
U0064, Romance
U0065,Documentary
U0066,Adventure
U0066, Documentary
U0066, Thriller
U0066, Romance
U0067,Comedy
U0067, Drama
U0067, Epic - Historical
U0067, Thriller
U0067, Family
U0067, Romance
U0067, Animation
U0067, Documentary
U0068,Thriller
U0068, Comedy
U0068, Drama
U0068, Animation
U0068, Documentary
U0068, Family
U0068, Biography
U0068, Epic - Historical
U0069,Thriller
U0070,Adventure
U0070, Action
U0070, Crime and Gangster
U0070, Thriller
U0070, Sci-Fi
U0070, Drama
U0070, Documentary
U0070, Mystery
U0071,Adventure
U0072,Action
U0072, Adventure
U0072, Thriller
U0072, Drama
U0072, Comedy
U0072, Fantasy
U0072, Sci-Fi
U0072, Family
U0073,Action
U0073, Adventure
U0073, Comedy
U0073, Crime and Gangster
U0074,Comedy
U0075,Romance
U0075, Family
U0075, Comedy
U0075, Adventure
U0075, Sci-Fi
U0075, Erotic
U0076,Thriller
U0076, Comedy
U0076, Horror
U0076, Romance
U0077,Drama
U0077, Documentary
U0078,Adventure
U0078, Comedy
U0078, Sci-Fi
U0079,Action
U0079, Comedy
U0079, Horror
U0080,Thriller
U0081,Thriller
U0081, Horror
U0081, Comedy
U0081, Adventure
U0082,Action
U0082, Adventure
U0082, Thriller
U0082, Comedy
U0082, Sci-Fi
U0082, Fantasy
U0082, Horror
U0083,Thriller
U0083, Crime and Gangster
U0083, Sci-Fi
U0084,Adventure
U0084, Action
U0084, Comedy
U0084, Drama
U0084, Horror
U0084, Sci-Fi
U0085,Comedy
U0085, Sci-Fi
U0085, Fantasy
U0085, Family
U0086,Comedy
U0087,Comedy
U0087, Sci-Fi
U0087, Family
U0087, Romance
U0087, Musical
U0087, Adventure
U0088,Thriller
U0088, Action
U0088, Romance
U0088, Comedy
U0089,Thriller
U0089, Comedy
U0089, Adventure
U0089, Action
U0089, Sport
U0090,Comedy
U0090, Action
U0091,Comedy
U0091, Documentary
U0091, Adventure
U0092,Comedy
U0093,Action
U0093, Adventure
U0093, Thriller
U0093, Drama
U0093, Sci-Fi
U0093, Horror
U0093, Fantasy
U0093, Mystery
U0093, Romance
U0094,Action
U0094, Adventure
U0094, Comedy
U0094, Romance
U0095,Action
U0095, Romance
U0095, Thriller
U0095, Mystery
U0095, Musical
U0096,Action
U0096, Thriller
U0096, Comedy
U0096, Drama
U0096, Epic - Historical
U0096, Horror
U0096, War
U0096, Western
U0096, Biography
U0096, Mystery
U0096, Romance
U0096, Documentary
U0097,Adventure
U0097, Thriller
U0097, Comedy
U0097, Crime and Gangster
U0097, Sci-Fi
U0097, Horror
U0097, Animation
U0097, Fantasy
U0097, Mystery
U0097, Documentary
U0097, Musical
U0098,Comedy
U0098, Documentary
U0098, Drama
U0099,Action
U0099, Comedy
U0099, Mystery
U0099, Drama
U0100,Action
U0100, Thriller
U0100, Adventure
U0100, Comedy
U0100, Crime and Gangster
U0100, Sci-Fi
U0100, Fantasy
U0100, Animation
U0100, Mystery
U0100, Romance
U0101,Comedy
U0101, Thriller
U0102,Comedy
U0102, Drama
U0103,Action
U0103, Adventure
U0104,Comedy
U0104, Drama
U0104, Documentary
U0105,Drama
U0105, Comedy
U0105, Thriller
U0106,Comedy
U0106, Drama
U0106, Mystery
U0107,Comedy
U0107, Adventure
U0107, Thriller
U0107, Crime and Gangster
U0107, Drama
U0107, Horror
U0107, Sci-Fi
U0108,Adventure
U0108, Comedy
U0108, Biography
U0109,Action
U0109, Crime and Gangster
U0109, Epic - Historical
U0110,Adventure
U0110, Comedy
U0110, Crime and Gangster
U0110, Family
U0111,Drama
U0111, Epic - Historical
U0112,Comedy
U0113,Action
U0114,Comedy
U0114, Sci-Fi
U0114, Fantasy
U0115,Thriller
U0115, Horror
U0115, Crime and Gangster
U0116,Drama
U0116, Comedy
U0116, Family
U0117,Drama
U0117, Comedy
U0117, Crime and Gangster
U0118,Action
U0118, Thriller
U0118, Comedy
U0118, Crime and Gangster
U0118, Drama
U0118, Animation
U0118, Horror
U0118, Romance
U0119,Comedy
U0119, Drama
U0119, Documentary
U0120,Action
