user_id,category,question_no_,value
U0001,Jewellery & Watches,7,1
U0001,Jewellery & Watches,8,1
U0001,Jewellery & Watches,9,1
U0001,Jewellery & Watches,10,1
U0001,Jewellery & Watches,11,1
U0001,Jewellery & Watches,12,1
U0001,Jewellery & Watches,13,1
U0001,Jewellery & Watches,14,1
U0001,Kitchen & Home,0,1
U0001,Kitchen & Home,1,1
U0001,Kitchen & Home,2,1
U0001,Kitchen & Home,3,1
U0001,Kitchen & Home,4,1
U0001,Kitchen & Home,5,1
U0001,Kitchen & Home,6,1
U0001,Kitchen & Home,7,1
U0001,Kitchen & Home,8,1
U0001,Kitchen & Home,9,1
U0001,Kitchen & Home,10,1
U0001,Kitchen & Home,11,3
U0001,Kitchen & Home,12,1
U0001,Kitchen & Home,13,1
U0001,Kitchen & Home,14,1
U0001,Media (BMVD),0,1
U0001,Media (BMVD),1,1
U0001,Media (BMVD),2,1
U0001,Media (BMVD),3,1
U0001,Media (BMVD),4,1
U0001,Media (BMVD),5,1
U0001,Media (BMVD),6,1
U0001,Media (BMVD),7,1
U0001,Media (BMVD),8,1
U0001,Media (BMVD),9,1
U0001,Media (BMVD),10,1
U0001,Media (BMVD),11,1
U0001,Media (BMVD),12,1
U0001,Media (BMVD),13,1
U0001,Media (BMVD),14,1
U0001,Musical Instruments,0,1
U0001,Musical Instruments,1,1
U0001,Musical Instruments,2,1
U0001,Musical Instruments,3,1
U0001,Musical Instruments,4,1
U0001,Musical Instruments,5,1
U0001,Musical Instruments,6,1
U0001,Musical Instruments,7,1
U0001,Musical Instruments,8,1
U0001,Musical Instruments,9,1
U0001,Musical Instruments,10,3
U0001,Musical Instruments,11,1
U0001,Musical Instruments,12,1
U0001,Musical Instruments,13,1
U0001,Musical Instruments,14,1
U0001,Office Products,0,1
U0001,Office Products,1,3
U0001,Office Products,2,4
U0001,Office Products,3,1
U0001,Office Products,4,2
U0001,Office Products,5,1
U0001,Office Products,6,1
U0001,Office Products,7,1
U0001,Office Products,8,1
U0001,Office Products,9,1
U0001,Office Products,10,1
U0001,Office Products,11,1
U0001,Office Products,12,1
U0001,Office Products,13,2
U0001,Office Products,14,3
U0001,Pet Supplies,0,3
U0001,Pet Supplies,1,2
U0001,Pet Supplies,2,3
U0001,Pet Supplies,3,3
U0001,Pet Supplies,4,2
U0001,Pet Supplies,5,1
U0001,Pet Supplies,6,1
U0001,Pet Supplies,7,2
U0001,Pet Supplies,8,1
U0001,Pet Supplies,9,1
U0001,Pet Supplies,10,1
U0001,Pet Supplies,11,2
U0001,Pet Supplies,12,1
U0001,Pet Supplies,13,2
U0001,Pet Supplies,14,3
U0001,Sports & Outdoors,0,2
U0001,Sports & Outdoors,1,1
U0001,Sports & Outdoors,2,1
U0001,Sports & Outdoors,3,1
U0001,Sports & Outdoors,4,1
U0001,Sports & Outdoors,5,1
U0001,Sports & Outdoors,6,1
U0001,Sports & Outdoors,7,3
U0001,Sports & Outdoors,8,1
U0001,Sports & Outdoors,9,1
U0001,Sports & Outdoors,10,1
U0001,Sports & Outdoors,11,1
U0001,Sports & Outdoors,12,2
U0001,Sports & Outdoors,13,1
U0001,Sports & Outdoors,14,1
U0001,Toys & Games,0,1
U0001,Toys & Games,1,3
U0001,Toys & Games,2,1
U0001,Toys & Games,3,3
U0001,Toys & Games,4,2
U0001,Toys & Games,5,1
U0001,Toys & Games,6,1
U0001,Toys & Games,7,1
U0001,Toys & Games,8,1
U0001,Toys & Games,9,1
U0001,Toys & Games,10,1
U0001,Toys & Games,11,1
U0001,Toys & Games,12,1
U0001,Toys & Games,13,1
U0001,Toys & Games,14,1
U0002,Automotive,0,1
U0002,Automotive,1,1
U0002,Automotive,2,1
U0002,Automotive,3,1
U0002,Automotive,4,1
U0002,Automotive,5,3
U0002,Automotive,6,1
U0002,Automotive,7,1
U0002,Automotive,8,1
U0002,Automotive,9,1
U0002,Automotive,10,1
U0002,Automotive,11,1
U0002,Automotive,12,1
U0002,Automotive,13,1
U0002,Automotive,14,1
U0002,Baby Products,0,1
U0002,Baby Products,1,1
U0002,Baby Products,2,1
U0002,Baby Products,3,1
U0002,Baby Products,4,1
U0002,Baby Products,5,1
U0002,Baby Products,6,1
U0002,Baby Products,7,1
U0002,Baby Products,8,1
U0002,Baby Products,9,1
U0002,Baby Products,10,1
U0002,Baby Products,11,1
U0002,Baby Products,12,1
U0002,Baby Products,13,1
U0002,Baby Products,14,1
U0002,Betting,0,1
U0002,Betting,1,1
U0002,Betting,2,1
U0002,Betting,3,1
U0002,Betting,4,1
U0002,Betting,5,1
U0002,Betting,6,1
U0002,Betting,7,1
U0002,Betting,8,1
U0002,Betting,9,1
U0002,Betting,10,1
U0002,Betting,11,1
U0002,Betting,12,1
U0002,Betting,13,1
U0002,Betting,14,1
U0002,Clothing & Shoes,0,3
U0002,Clothing & Shoes,1,1
U0002,Clothing & Shoes,2,1
U0002,Clothing & Shoes,3,1
U0002,Clothing & Shoes,4,2
U0002,Clothing & Shoes,5,1
U0002,Clothing & Shoes,6,2
U0002,Clothing & Shoes,7,1
U0002,Clothing & Shoes,8,1
U0002,Clothing & Shoes,9,2
U0002,Clothing & Shoes,10,1
U0002,Clothing & Shoes,11,1
U0002,Clothing & Shoes,12,1
U0002,Clothing & Shoes,13,1
U0002,Clothing & Shoes,14,1
U0002,Computer Software,0,1
U0002,Computer Software,1,1
U0002,Computer Software,2,3
U0002,Computer Software,3,1
U0002,Computer Software,4,2
U0002,Computer Software,5,4
U0002,Computer Software,6,1
U0002,Computer Software,7,1
U0002,Computer Software,8,1
U0002,Computer Software,9,1
U0002,Computer Software,10,1
U0002,Computer Software,11,1
U0002,Computer Software,12,1
U0002,Computer Software,13,1
U0002,Computer Software,14,1
U0002,Console & Video Games,0,1
U0002,Console & Video Games,1,5
U0002,Console & Video Games,2,5
U0002,Console & Video Games,3,2
U0002,Console & Video Games,4,1
U0002,Console & Video Games,5,1
U0002,Console & Video Games,6,1
U0002,Console & Video Games,7,1
U0002,Console & Video Games,8,1
U0002,Console & Video Games,9,1
U0002,Console & Video Games,10,1
U0002,Console & Video Games,11,1
U0002,Console & Video Games,12,4
U0002,Console & Video Games,13,1
U0002,Console & Video Games,14,1
U0002,Consumer Electronics,0,1
U0002,Consumer Electronics,1,1
U0002,Consumer Electronics,2,3
U0002,Consumer Electronics,3,1
U0002,Consumer Electronics,4,1
U0002,Consumer Electronics,5,1
U0002,Consumer Electronics,6,1
U0002,Consumer Electronics,7,1
U0002,Consumer Electronics,8,3
U0002,Consumer Electronics,9,1
U0002,Consumer Electronics,10,1
U0002,Consumer Electronics,11,1
U0002,Consumer Electronics,12,2
U0002,Consumer Electronics,13,1
U0002,Consumer Electronics,14,3
U0002,DIY & Tools,0,1
U0002,DIY & Tools,1,1
U0002,DIY & Tools,2,1
U0002,DIY & Tools,3,1
U0002,DIY & Tools,4,1
U0002,DIY & Tools,5,1
U0002,DIY & Tools,6,1
U0002,DIY & Tools,7,1
U0002,DIY & Tools,8,1
U0002,DIY & Tools,9,1
U0002,DIY & Tools,10,1
U0002,DIY & Tools,11,1
U0002,DIY & Tools,12,1
U0002,DIY & Tools,13,1
U0002,DIY & Tools,14,1
U0002,Dating Sites,0,2
U0002,Dating Sites,1,1
U0002,Dating Sites,2,1
U0002,Dating Sites,3,1
U0002,Dating Sites,4,1
U0002,Dating Sites,5,1
U0002,Dating Sites,6,2
U0002,Dating Sites,7,2
U0002,Dating Sites,8,1
U0002,Dating Sites,9,1
U0002,Dating Sites,10,1
U0002,Dating Sites,11,1
U0002,Dating Sites,12,1
U0002,Dating Sites,13,1
U0002,Dating Sites,14,1
U0002,Garden & Outdoor living,0,3
U0002,Garden & Outdoor living,1,1
U0002,Garden & Outdoor living,2,1
U0002,Garden & Outdoor living,3,1
U0002,Garden & Outdoor living,4,1
U0002,Garden & Outdoor living,5,1
U0002,Garden & Outdoor living,6,1
U0002,Garden & Outdoor living,7,1
U0002,Garden & Outdoor living,8,1
U0002,Garden & Outdoor living,9,1
U0002,Garden & Outdoor living,10,1
U0002,Garden & Outdoor living,11,1
U0002,Garden & Outdoor living,12,1
U0002,Garden & Outdoor living,13,1
U0002,Garden & Outdoor living,14,3
U0002,Grocery,0,1
U0002,Grocery,1,1
U0002,Grocery,2,1
U0002,Grocery,3,1
U0002,Grocery,4,3
U0002,Grocery,5,1
U0002,Grocery,6,1
U0002,Grocery,7,1
U0002,Grocery,8,1
U0002,Grocery,9,1
U0002,Grocery,10,4
U0002,Grocery,11,1
U0002,Grocery,12,1
U0002,Grocery,13,1
U0002,Grocery,14,1
U0002,Health & Beauty,0,1
U0002,Health & Beauty,1,1
U0002,Health & Beauty,2,1
U0002,Health & Beauty,3,1
U0002,Health & Beauty,4,1
U0002,Health & Beauty,5,1
U0002,Health & Beauty,6,2
U0002,Health & Beauty,7,2
U0002,Health & Beauty,8,1
U0002,Health & Beauty,9,1
U0002,Health & Beauty,10,1
U0002,Health & Beauty,11,1
U0002,Health & Beauty,12,1
U0002,Health & Beauty,13,1
U0002,Health & Beauty,14,1
U0002,Jewellery & Watches,0,1
U0002,Jewellery & Watches,1,1
U0002,Jewellery & Watches,2,2
U0002,Jewellery & Watches,3,1
U0002,Jewellery & Watches,4,1
U0002,Jewellery & Watches,5,1
U0002,Jewellery & Watches,6,1
U0002,Jewellery & Watches,7,1
U0002,Jewellery & Watches,8,1
U0002,Jewellery & Watches,9,1
U0002,Jewellery & Watches,10,3
U0002,Jewellery & Watches,11,2
U0002,Jewellery & Watches,12,3
U0002,Jewellery & Watches,13,1
U0002,Jewellery & Watches,14,1
U0002,Kitchen & Home,0,1
U0002,Kitchen & Home,1,1
U0002,Kitchen & Home,2,2
U0002,Kitchen & Home,3,3
U0002,Kitchen & Home,4,4
U0002,Kitchen & Home,5,4
U0002,Kitchen & Home,6,1
U0002,Kitchen & Home,7,1
U0002,Kitchen & Home,8,1
U0002,Kitchen & Home,9,2
U0002,Kitchen & Home,10,3
U0002,Kitchen & Home,11,1
U0002,Kitchen & Home,12,3
U0002,Kitchen & Home,13,4
U0002,Kitchen & Home,14,2
U0002,Media (BMVD),0,1
U0002,Media (BMVD),1,1
U0002,Media (BMVD),2,1
U0002,Media (BMVD),3,1
U0002,Media (BMVD),4,1
U0002,Media (BMVD),5,3
U0002,Media (BMVD),6,1
U0002,Media (BMVD),7,1
U0002,Media (BMVD),8,1
U0002,Media (BMVD),9,3
U0002,Media (BMVD),10,1
U0002,Media (BMVD),11,1
U0002,Media (BMVD),12,1
U0002,Media (BMVD),13,1
U0002,Media (BMVD),14,1
U0002,Musical Instruments,0,3
U0002,Musical Instruments,1,1
U0002,Musical Instruments,2,1
U0002,Musical Instruments,3,1
U0002,Musical Instruments,4,3
U0002,Musical Instruments,5,1
U0002,Musical Instruments,6,1
U0002,Musical Instruments,7,1
U0002,Musical Instruments,8,1
U0002,Musical Instruments,9,1
U0002,Musical Instruments,10,2
U0002,Musical Instruments,11,1
U0002,Musical Instruments,12,2
U0002,Musical Instruments,13,1
U0002,Musical Instruments,14,2
U0002,Office Products,0,1
U0002,Office Products,1,1
U0002,Office Products,2,1
U0002,Office Products,3,1
U0002,Office Products,4,1
U0002,Office Products,5,2
U0002,Office Products,6,2
U0002,Office Products,7,2
U0002,Office Products,8,2
U0002,Office Products,9,4
U0002,Office Products,10,2
U0002,Office Products,11,1
U0002,Office Products,12,1
U0002,Office Products,13,2
U0002,Office Products,14,1
U0002,Pet Supplies,0,1
U0002,Pet Supplies,1,1
U0002,Pet Supplies,2,1
U0002,Pet Supplies,3,1
U0002,Pet Supplies,4,2
U0002,Pet Supplies,5,3
U0002,Pet Supplies,6,1
U0002,Pet Supplies,7,1
U0002,Pet Supplies,8,1
U0002,Pet Supplies,9,1
U0002,Pet Supplies,10,1
U0002,Pet Supplies,11,2
U0002,Pet Supplies,12,1
U0002,Pet Supplies,13,1
U0002,Pet Supplies,14,1
U0002,Sports & Outdoors,0,2
U0002,Sports & Outdoors,1,1
U0002,Sports & Outdoors,2,1
U0002,Sports & Outdoors,3,2
U0002,Sports & Outdoors,4,1
U0002,Sports & Outdoors,5,3
U0002,Sports & Outdoors,6,2
U0002,Sports & Outdoors,7,1
U0002,Sports & Outdoors,8,1
U0002,Sports & Outdoors,9,1
U0002,Sports & Outdoors,10,1
U0002,Sports & Outdoors,11,1
U0002,Sports & Outdoors,12,1
U0002,Sports & Outdoors,13,1
U0002,Sports & Outdoors,14,1
U0002,Toys & Games,0,1
U0002,Toys & Games,1,1
U0002,Toys & Games,2,3
U0002,Toys & Games,3,4
U0002,Toys & Games,4,1
U0002,Toys & Games,5,2
U0002,Toys & Games,6,1
U0002,Toys & Games,7,1
U0002,Toys & Games,8,1
U0002,Toys & Games,9,1
U0002,Toys & Games,10,3
U0002,Toys & Games,11,1
U0002,Toys & Games,12,2
U0002,Toys & Games,13,1
U0002,Toys & Games,14,1
U0003,Automotive,0,2
U0003,Automotive,1,2
U0003,Automotive,2,3
U0003,Automotive,3,4
U0003,Automotive,4,3
U0003,Automotive,5,4
U0003,Automotive,6,3
U0003,Automotive,7,5
U0003,Automotive,8,2
U0003,Automotive,9,1
U0003,Automotive,10,2
U0003,Automotive,11,4
U0003,Automotive,12,5
U0003,Automotive,13,4
U0003,Automotive,14,1
U0003,Baby Products,0,1
U0003,Baby Products,1,2
U0003,Baby Products,2,1
U0003,Baby Products,3,1
U0003,Baby Products,4,1
U0003,Baby Products,5,2
U0003,Baby Products,6,2
U0003,Baby Products,7,3
U0003,Baby Products,8,3
U0003,Baby Products,9,2
U0003,Baby Products,10,1
U0003,Baby Products,11,1
U0003,Baby Products,12,1
U0003,Baby Products,13,1
U0003,Baby Products,14,1
U0003,Betting,0,4
U0003,Betting,1,1
U0003,Betting,2,4
U0003,Betting,3,2
U0003,Betting,4,4
U0003,Betting,5,4
U0003,Betting,6,1
U0003,Betting,7,5
U0003,Betting,8,2
U0003,Betting,9,5
U0003,Betting,10,5
U0003,Betting,11,1
U0003,Betting,12,4
U0003,Betting,13,1
U0003,Betting,14,4
U0003,Clothing & Shoes,0,4
U0003,Clothing & Shoes,1,3
U0003,Clothing & Shoes,2,1
U0003,Clothing & Shoes,3,5
U0003,Clothing & Shoes,4,2
U0003,Clothing & Shoes,5,1
U0003,Clothing & Shoes,6,1
U0003,Clothing & Shoes,7,1
U0003,Clothing & Shoes,8,3
U0003,Clothing & Shoes,9,2
U0003,Clothing & Shoes,10,4
U0003,Clothing & Shoes,11,1
U0003,Clothing & Shoes,12,1
U0003,Clothing & Shoes,13,1
U0003,Clothing & Shoes,14,4
U0003,Computer Software,0,1
U0003,Computer Software,1,5
U0003,Computer Software,2,2
U0003,Computer Software,3,5
U0003,Computer Software,4,3
U0003,Computer Software,5,1
U0003,Computer Software,6,4
U0003,Computer Software,7,4
U0003,Computer Software,8,1
U0003,Computer Software,9,4
U0003,Computer Software,10,1
U0003,Computer Software,11,5
U0003,Computer Software,12,5
U0003,Computer Software,13,5
U0003,Computer Software,14,1
U0003,Console & Video Games,0,5
U0003,Console & Video Games,1,4
U0003,Console & Video Games,2,5
U0003,Console & Video Games,3,4
U0003,Console & Video Games,4,5
U0003,Console & Video Games,5,5
U0003,Console & Video Games,6,5
U0003,Console & Video Games,7,5
U0003,Console & Video Games,8,5
U0003,Console & Video Games,9,5
U0003,Console & Video Games,10,5
U0003,Console & Video Games,11,5
U0003,Console & Video Games,12,4
U0003,Console & Video Games,13,5
U0003,Console & Video Games,14,5
U0003,Consumer Electronics,0,4
U0003,Consumer Electronics,1,3
U0003,Consumer Electronics,2,5
U0003,Consumer Electronics,3,5
U0003,Consumer Electronics,4,2
U0003,Consumer Electronics,5,1
U0003,Consumer Electronics,6,4
U0003,Consumer Electronics,7,2
U0003,Consumer Electronics,8,5
U0003,Consumer Electronics,9,4
U0003,Consumer Electronics,10,3
U0003,Consumer Electronics,11,5
U0003,Consumer Electronics,12,2
U0003,Consumer Electronics,13,5
U0003,Consumer Electronics,14,5
U0003,DIY & Tools,0,2
U0003,DIY & Tools,1,4
U0003,DIY & Tools,2,2
U0003,DIY & Tools,3,2
U0003,DIY & Tools,4,4
U0003,DIY & Tools,5,2
U0003,DIY & Tools,6,3
U0003,DIY & Tools,7,5
U0003,DIY & Tools,8,2
U0003,DIY & Tools,9,1
U0003,DIY & Tools,10,1
U0003,DIY & Tools,11,4
U0003,DIY & Tools,12,4
U0003,DIY & Tools,13,5
U0003,DIY & Tools,14,4
U0003,Dating Sites,0,1
U0003,Dating Sites,1,2
U0003,Dating Sites,2,1
U0003,Dating Sites,3,1
U0003,Dating Sites,4,3
U0003,Dating Sites,5,1
U0003,Dating Sites,6,1
U0003,Dating Sites,7,1
U0003,Dating Sites,8,1
U0003,Dating Sites,9,1
U0003,Dating Sites,10,1
U0003,Dating Sites,11,1
U0003,Dating Sites,12,1
U0003,Dating Sites,13,4
U0003,Dating Sites,14,1
U0003,Garden & Outdoor living,0,5
U0003,Garden & Outdoor living,1,4
U0003,Garden & Outdoor living,2,1
U0003,Garden & Outdoor living,3,1
U0003,Garden & Outdoor living,4,2
U0003,Garden & Outdoor living,5,2
U0003,Garden & Outdoor living,6,1
U0003,Garden & Outdoor living,7,4
U0003,Garden & Outdoor living,8,3
U0003,Garden & Outdoor living,9,1
U0003,Garden & Outdoor living,10,1
U0003,Garden & Outdoor living,11,3
U0003,Garden & Outdoor living,12,1
U0003,Garden & Outdoor living,13,3
U0003,Garden & Outdoor living,14,3
U0003,Grocery,0,5
U0003,Grocery,1,5
U0003,Grocery,2,3
U0003,Grocery,3,5
U0003,Grocery,4,5
U0003,Grocery,5,5
U0003,Grocery,6,2
U0003,Grocery,7,5
U0003,Grocery,8,1
U0003,Grocery,9,5
U0003,Grocery,10,5
U0003,Grocery,11,5
U0003,Grocery,12,5
U0003,Grocery,13,1
U0003,Grocery,14,5
U0003,Health & Beauty,0,1
U0003,Health & Beauty,1,1
U0003,Health & Beauty,2,2
U0003,Health & Beauty,3,3
U0003,Health & Beauty,4,5
U0003,Health & Beauty,5,4
U0003,Health & Beauty,6,1
U0003,Health & Beauty,7,5
U0003,Health & Beauty,8,3
U0003,Health & Beauty,9,2
U0003,Health & Beauty,10,2
U0003,Health & Beauty,11,1
U0003,Health & Beauty,12,2
U0003,Health & Beauty,13,4
U0003,Health & Beauty,14,3
U0003,Jewellery & Watches,0,1
U0003,Jewellery & Watches,1,1
U0003,Jewellery & Watches,2,1
U0003,Jewellery & Watches,3,1
U0003,Jewellery & Watches,4,3
U0003,Jewellery & Watches,5,1
U0003,Jewellery & Watches,6,5
U0003,Jewellery & Watches,7,1
U0003,Jewellery & Watches,8,5
U0003,Jewellery & Watches,9,1
U0003,Jewellery & Watches,10,2
U0003,Jewellery & Watches,11,5
U0003,Jewellery & Watches,12,2
U0003,Jewellery & Watches,13,4
U0003,Jewellery & Watches,14,5
U0003,Kitchen & Home,0,3
U0003,Kitchen & Home,1,1
U0003,Kitchen & Home,2,5
U0003,Kitchen & Home,3,5
U0003,Kitchen & Home,4,3
U0003,Kitchen & Home,5,4
U0003,Kitchen & Home,6,1
U0003,Kitchen & Home,7,4
U0003,Kitchen & Home,8,4
U0003,Kitchen & Home,9,5
U0003,Kitchen & Home,10,1
U0003,Kitchen & Home,11,1
U0003,Kitchen & Home,12,5
U0003,Kitchen & Home,13,3
U0003,Kitchen & Home,14,5
U0003,Media (BMVD),0,5
U0003,Media (BMVD),1,3
U0003,Media (BMVD),2,3
U0003,Media (BMVD),3,4
U0003,Media (BMVD),4,4
U0003,Media (BMVD),5,4
U0003,Media (BMVD),6,4
U0003,Media (BMVD),7,5
U0003,Media (BMVD),8,2
U0003,Media (BMVD),9,3
U0003,Media (BMVD),10,3
U0003,Media (BMVD),11,3
U0003,Media (BMVD),12,3
U0003,Media (BMVD),13,4
U0003,Media (BMVD),14,3
U0003,Musical Instruments,0,2
U0003,Musical Instruments,1,2
U0003,Musical Instruments,2,1
U0003,Musical Instruments,3,1
U0003,Musical Instruments,4,3
U0003,Musical Instruments,5,1
U0003,Musical Instruments,6,1
U0003,Musical Instruments,7,1
U0003,Musical Instruments,8,2
U0003,Musical Instruments,9,5
U0003,Musical Instruments,10,4
U0003,Musical Instruments,11,2
U0003,Musical Instruments,12,1
U0003,Musical Instruments,13,2
U0003,Musical Instruments,14,5
U0003,Office Products,0,4
U0003,Office Products,1,3
U0003,Office Products,2,1
U0003,Office Products,3,2
U0003,Office Products,4,5
U0003,Office Products,5,3
U0003,Office Products,6,3
U0003,Office Products,7,5
U0003,Office Products,8,4
U0003,Office Products,9,1
U0003,Office Products,10,3
U0003,Office Products,11,1
U0003,Office Products,12,3
U0003,Office Products,13,4
U0003,Office Products,14,4
U0003,Pet Supplies,0,2
U0003,Pet Supplies,1,3
U0003,Pet Supplies,2,3
U0003,Pet Supplies,3,2
U0003,Pet Supplies,4,1
U0003,Pet Supplies,5,2
U0003,Pet Supplies,6,3
U0003,Pet Supplies,7,2
U0003,Pet Supplies,8,3
U0003,Pet Supplies,9,1
U0003,Pet Supplies,10,5
U0003,Pet Supplies,11,1
U0003,Pet Supplies,12,2
U0003,Pet Supplies,13,2
U0003,Pet Supplies,14,5
U0003,Sports & Outdoors,0,1
U0003,Sports & Outdoors,1,2
U0003,Sports & Outdoors,2,3
U0003,Sports & Outdoors,3,3
U0003,Sports & Outdoors,4,2
U0003,Sports & Outdoors,5,1
U0003,Sports & Outdoors,6,3
U0003,Sports & Outdoors,7,1
U0003,Sports & Outdoors,8,1
U0003,Sports & Outdoors,9,5
U0003,Sports & Outdoors,10,4
U0003,Sports & Outdoors,11,5
U0003,Sports & Outdoors,12,2
U0003,Sports & Outdoors,13,5
U0003,Sports & Outdoors,14,2
U0003,Toys & Games,0,4
U0003,Toys & Games,1,2
U0003,Toys & Games,2,2
U0003,Toys & Games,3,5
U0003,Toys & Games,4,1
U0003,Toys & Games,5,4
U0003,Toys & Games,6,1
U0003,Toys & Games,7,3
U0003,Toys & Games,8,2
U0003,Toys & Games,9,2
