,user_id,Most_listened_musics
153,U0055,Alternative Music
154,U0055, Dance Music
155,U0055, Electronic Music
156,U0055, Rock
157,U0056,Country Music
158,U0056, Dance Music
159,U0056, Rock
160,U0057,Classical Music
161,U0057, Pop (Popular music)
162,U0057, Opera
163,U0058,New Age
164,U0058, Pop (Popular music)
165,U0058, Jazz
166,U0059,Alternative Music
167,U0059, Electronic Music
168,U0059, Indie Pop
169,U0059, R&amp;B - Soul
170,U0060,Rock
171,U0061,Classical Music
172,U0061, Dance Music
173,U0061, Asian Pop (J-Pop or K-pop)
174,U0061, Jazz
175,U0061, Pop (Popular music)
176,U0061, Blues
177,U0061, Rock
178,U0062,Easy Listening
179,U0062, Hip Hop - Rap
180,U0062, Pop (Popular music)
181,U0063,Alternative Music
182,U0063, Hip Hop - Rap
183,U0064,Jazz
184,U0064, Latin Music
185,U0064, Pop (Popular music)
186,U0064, Reggae
187,U0065,Rock
188,U0066,Jazz
189,U0066, Indie Pop
190,U0066, Alternative Music
191,U0066, Electronic Music
192,U0067,Classical Music
193,U0067, R&amp;B - Soul
194,U0068,Electronic Music
195,U0069,Dance Music
196,U0070,Classical Music
197,U0070, Dance Music
198,U0070, Pop (Popular music)
199,U0071,Pop (Popular music)
200,U0072,Rock
201,U0073,Hip Hop - Rap
202,U0073, Pop (Popular music)
203,U0073, R&amp;B - Soul
204,U0074,Indie Pop
205,U0075,Pop (Popular music)
206,U0075, Rock
207,U0075, Country Music
208,U0076,Rock
209,U0076, Singer - Songwriter (inc. Folk)
210,U0076, Alternative Music
211,U0077,European Music (Folk-Pop)
212,U0078,Rock
213,U0078, Easy Listening
214,U0078, Dance Music
215,U0078, Electronic Music
216,U0078, Pop (Popular music)
217,U0078, Indie Pop
218,U0079,Hip Hop - Rap
219,U0079, R&amp;B - Soul
220,U0079, Pop (Popular music)
221,U0080,Rock
222,U0080, Alternative Music
223,U0081,Dance Music
224,U0081, Pop (Popular music)
225,U0082,Indie Pop
226,U0082, Country Music
227,U0082, Singer - Songwriter (inc. Folk)
228,U0083,Easy Listening
229,U0083, Classical Music
230,U0083, Dance Music
231,U0084,Dance Music
232,U0084, Easy Listening
233,U0084, European Music (Folk-Pop)
234,U0084, Hip Hop - Rap
235,U0084, Indie Pop
236,U0084, Pop (Popular music)
237,U0084, R&amp;B - Soul
238,U0084, Rock
239,U0085,Rock
240,U0085, Alternative Music
241,U0086,Pop (Popular music)
242,U0087,Dance Music
243,U0087, Pop (Popular music)
244,U0087, Rock
245,U0087, Blues
246,U0088,Reggae
247,U0088, Blues
248,U0088, Hip Hop - Rap
249,U0089,Hip Hop - Rap
250,U0089, Country Music
251,U0090,Pop (Popular music)
252,U0091,Dance Music
253,U0091, Hip Hop - Rap
254,U0091, Alternative Music
255,U0092,Electronic Music
256,U0093,Blues
257,U0093, Classical Music
258,U0093, Inspirational (incl. Gospel)
259,U0093, Jazz
260,U0093, New Age
261,U0093, Pop (Popular music)
262,U0093, Rock
263,U0093, Singer - Songwriter (inc. Folk)
264,U0094,Alternative Music
265,U0094, Country Music
266,U0094, Pop (Popular music)
267,U0095,Classical Music
268,U0095, Jazz
269,U0096,Country Music
270,U0096, Easy Listening
271,U0096, Rock
272,U0096, Singer - Songwriter (inc. Folk)
273,U0097,Country Music
274,U0097, Indie Pop
275,U0097, Pop (Popular music)
276,U0097, Rock
277,U0097, Singer - Songwriter (inc. Folk)
278,U0098,Electronic Music
279,U0098, Rock
280,U0098, Indie Pop
281,U0099,Electronic Music
282,U0099, Country Music
283,U0099, European Music (Folk-Pop)
284,U0100,Pop (Popular music)
285,U0100, Rock
286,U0101,Blues
287,U0101, Jazz
288,U0102,Jazz
289,U0102, Rock
290,U0102, Singer - Songwriter (inc. Folk)
291,U0103,Classical Music
292,U0103, Alternative Music
293,U0103, Blues
294,U0104,Alternative Music
295,U0104, Blues
296,U0104, Classical Music
297,U0104, Dance Music
298,U0104, Electronic Music
299,U0104, Jazz
300,U0104, Reggae
301,U0104, Rock
302,U0105,Country Music
303,U0105, Easy Listening
304,U0105, Dance Music
305,U0106,Pop (Popular music)
306,U0106, R&amp;B - Soul
307,U0107,Electronic Music
308,U0107, Alternative Music
309,U0107, Classical Music
310,U0107, Indie Pop
311,U0107, Rock
312,U0108,R&amp;B - Soul
313,U0108, World Music - Beats
314,U0109,Alternative Music
315,U0109, Blues
316,U0109, European Music (Folk-Pop)
317,U0109, Hip Hop - Rap
318,U0110,Alternative Music
319,U0110, Classical Music
320,U0110, Blues
321,U0110, Pop (Popular music)
322,U0111,Easy Listening
323,U0111, R&amp;B - Soul
324,U0112,Alternative Music
325,U0113,Hip Hop - Rap
326,U0114,Alternative Music
327,U0114, Hip Hop - Rap
328,U0114, Indie Pop
329,U0115,Alternative Music
330,U0115, Rock
331,U0115, Electronic Music
332,U0115, Jazz
333,U0116,Alternative Music
334,U0116, Pop (Popular music)
335,U0117,Hip Hop - Rap
336,U0117, R&amp;B - Soul
337,U0117, Pop (Popular music)
338,U0118,Electronic Music
339,U0118, Hip Hop - Rap
340,U0118, Asian Pop (J-Pop or K-pop)
341,U0118, Latin Music
342,U0118, Pop (Popular music)
343,U0118, Rock
344,U0118, R&amp;B - Soul
345,U0119,New Age
346,U0119, Jazz
347,U0120,Indie Pop
