uid,payment_method,plan_price,auto_renew,transaction_date
27,30,149,1,2015-12-27
27,30,0,1,2015-04-27
27,30,149,1,2017-02-27
27,30,149,1,2015-10-27
27,30,149,1,2017-01-27
27,30,149,1,2015-05-27
28,41,99,1,2017-02-01
28,41,99,1,2016-12-02
28,41,99,1,2017-01-01
29,36,180,0,2017-02-26
29,36,180,0,2017-01-29
29,36,180,0,2016-12-29
30,38,149,0,2017-02-25
30,38,149,0,2017-01-24
31,41,129,1,2017-02-19
31,41,129,1,2017-01-20
32,41,99,1,2017-01-28
32,41,99,1,2017-02-27
33,32,894,0,2016-02-03
33,38,894,0,2015-07-19
33,17,0,0,2017-02-11
33,32,799,0,2016-07-17
34,40,149,1,2017-02-06
34,40,149,1,2017-01-06
35,38,149,0,2017-01-07
35,38,149,0,2017-02-02
36,40,149,1,2015-08-07
36,40,149,1,2016-09-08
36,40,149,1,2016-07-08
36,40,149,1,2016-12-08
36,40,149,1,2015-12-07
36,40,149,1,2016-05-08
36,40,149,1,2015-04-07
36,40,149,1,2016-08-08
36,40,149,1,2016-11-08
36,40,149,1,2017-01-08
36,40,149,1,2016-01-07
36,40,149,1,2016-03-08
36,40,149,1,2015-06-07
36,40,149,1,2016-10-08
36,40,149,1,2015-02-07
36,40,149,1,2016-06-08
36,40,149,1,2015-10-07
36,40,149,1,2015-09-07
36,40,149,1,2016-02-07
36,40,149,1,2015-01-07
36,40,149,1,2016-03-08
36,40,0,1,2015-05-07
36,40,149,1,2015-03-07
36,40,149,1,2015-07-07
36,40,149,1,2017-02-08
36,40,149,1,2016-04-08
36,40,149,1,2015-11-07
37,40,149,1,2015-01-22
37,32,1788,0,2015-02-25
37,40,149,1,2015-02-23
37,36,180,0,2017-01-19
38,39,149,1,2015-02-28
38,39,149,1,2016-01-31
38,39,149,1,2015-09-30
38,39,149,1,2016-11-30
38,39,149,1,2015-11-02
38,39,149,1,2015-06-30
38,39,149,1,2016-12-31
38,39,149,1,2016-10-31
38,39,149,1,2015-05-31
38,39,149,1,2015-08-31
38,39,149,1,2016-09-30
38,39,149,1,2015-01-31
38,39,149,1,2016-07-31
38,39,149,1,2017-01-31
38,39,149,1,2015-03-31
38,39,149,1,2015-07-31
38,39,149,1,2016-08-31
38,39,149,1,2015-12-02
38,39,0,1,2015-04-30
39,34,149,1,2016-11-30
39,34,149,1,2016-06-30
39,34,149,1,2016-09-30
39,34,149,1,2016-03-31
39,34,0,1,2015-09-30
39,34,149,1,2016-02-29
39,34,149,1,2016-01-31
39,34,0,1,2015-07-31
39,34,0,1,2015-03-31
39,34,149,1,2016-08-31
39,34,149,1,2015-12-31
39,34,0,1,2015-10-31
39,34,149,1,2016-10-31
39,34,0,1,2015-08-31
39,34,149,1,2016-05-31
39,34,149,1,2017-01-31
39,34,149,1,2016-04-30
39,34,149,1,2016-12-31
39,34,149,1,2015-11-30
39,34,149,1,2016-07-31
39,34,149,1,2017-02-28
39,34,0,1,2015-06-30
40,41,149,1,2015-03-07
40,41,99,1,2016-09-30
40,41,99,1,2016-07-31
40,41,99,1,2016-11-30
40,41,149,1,2015-02-07
40,41,99,1,2016-12-31
40,41,149,1,2015-06-07
40,41,99,1,2016-08-31
40,41,149,1,2015-01-07
40,41,149,1,2015-06-18
40,41,149,1,2015-04-07
40,41,99,1,2017-02-28
40,41,0,1,2015-05-07
40,41,99,1,2017-01-31
40,41,99,1,2016-10-31
41,32,1788,0,2015-06-02
41,36,180,1,2016-08-31
41,36,180,1,2017-01-06
41,36,0,0,2015-05-01
41,36,180,1,2016-07-30
41,36,180,1,2016-12-01
41,36,150,0,2015-03-27
41,36,180,1,2016-10-01
41,36,180,1,2016-10-31
41,36,180,1,2017-02-06
41,36,180,1,2016-12-05
42,41,149,1,2016-12-14
42,41,99,1,2016-02-14
42,41,149,1,2016-04-14
42,41,149,1,2016-03-14
42,41,99,1,2016-02-14
42,41,149,1,2016-08-14
42,41,149,1,2016-10-14
42,41,149,1,2016-06-14
42,41,149,1,2016-07-14
42,41,149,1,2017-02-14
42,41,149,1,2016-05-14
42,41,149,1,2016-11-14
42,41,149,1,2016-09-14
42,41,149,1,2017-01-14
42,41,149,1,2016-02-14
43,32,536,0,2015-08-15
43,39,0,1,2015-04-30
43,32,536,0,2016-02-09
43,39,149,1,2015-02-28
43,39,149,1,2015-01-31
43,32,536,0,2016-08-08
43,39,149,1,2015-03-31
43,39,149,1,2015-06-30
43,39,149,1,2015-07-07
43,39,149,1,2015-05-31
44,30,149,1,2017-02-08
44,30,129,1,2016-09-08
44,30,129,1,2016-08-08
44,30,129,1,2016-11-08
44,30,129,1,2016-10-08
44,30,129,1,2017-01-08
44,30,129,1,2016-12-08
45,38,0,0,2017-01-30
46,38,149,0,2017-01-22
47,41,149,1,2016-08-14
47,41,149,1,2016-11-14
47,41,149,1,2015-10-14
47,41,149,1,2016-09-14
47,41,129,1,2015-05-14
47,41,149,1,2015-09-14
47,41,129,1,2015-03-14
47,41,149,1,2016-12-14
47,41,149,1,2016-05-14
47,41,149,1,2016-01-14
47,41,149,1,2016-06-14
47,41,149,1,2017-02-14
47,41,149,1,2017-01-14
47,41,149,1,2016-07-14
47,41,129,1,2015-06-14
47,41,149,1,2015-11-14
47,41,149,1,2016-04-14
47,41,129,1,2015-08-14
47,41,129,1,2015-01-14
47,41,129,1,2015-04-14
47,41,149,1,2015-12-14
47,41,149,1,2016-10-14
47,41,149,1,2016-03-14
47,41,129,1,2015-02-14
47,41,129,1,2015-07-14
47,41,149,1,2016-02-14
48,36,180,0,2017-01-08
48,36,180,0,2016-10-06
48,36,180,0,2016-11-26
49,41,149,1,2016-10-26
49,41,149,1,2015-07-13
49,41,149,1,2015-01-10
49,41,149,1,2015-04-10
49,41,0,1,2015-05-10
49,41,149,1,2015-03-10
49,41,149,1,2015-02-10
49,41,149,1,2016-11-26
49,41,149,1,2017-02-18
49,41,149,1,2015-07-10
49,41,149,1,2015-06-10
49,41,149,1,2016-09-27
49,41,149,1,2016-12-26
49,41,149,1,2017-01-26
50,38,149,0,2016-02-10
50,38,149,0,2016-06-04
50,38,149,0,2016-09-09
50,38,149,0,2016-11-22
50,38,149,0,2016-04-22
50,38,149,0,2016-10-14
50,38,149,0,2017-01-29
50,38,149,0,2016-12-27
50,38,149,0,2016-03-18
50,38,149,0,2016-08-01
50,38,149,0,2016-06-29
50,38,149,0,2017-02-27
50,38,149,0,2016-01-10
51,29,180,1,2017-01-14
51,29,180,1,2017-02-12
51,29,180,1,2017-01-12
51,29,180,1,2016-12-12
51,35,0,0,2016-11-19
51,29,180,0,2016-07-03
51,35,0,0,2016-07-03
52,41,149,1,2015-08-20
52,41,99,1,2016-11-20
52,41,149,1,2015-10-20
52,41,149,1,2016-05-20
52,41,149,1,2016-04-20
52,41,149,1,2015-07-20
52,41,149,1,2016-01-20
52,41,99,1,2016-09-20
52,41,149,1,2015-11-20
52,41,149,1,2015-03-20
52,41,149,1,2015-05-20
52,41,149,1,2016-08-20
52,41,149,1,2016-07-20
52,41,99,1,2016-10-20
52,41,149,1,2016-06-20
52,41,149,1,2015-09-20
52,41,149,1,2015-12-20
52,41,149,1,2016-03-20
52,41,99,1,2016-08-20
52,41,149,1,2015-02-20
52,41,149,1,2016-02-20
52,41,99,1,2016-12-20
52,41,99,1,2017-02-20
52,41,149,1,2015-06-20
52,41,149,1,2015-04-20
52,41,99,1,2017-01-20
52,41,149,1,2015-01-20
53,38,149,0,2016-12-21
53,38,149,0,2016-11-20
53,38,149,0,2017-01-20
53,38,149,0,2017-02-18
54,36,180,0,2017-01-08
54,36,180,0,2016-12-07
55,38,149,0,2017-01-07
56,34,0,1,2015-07-31
56,34,149,1,2016-05-31
56,34,149,1,2016-09-30
56,34,0,1,2015-08-31
56,34,149,1,2016-12-31
56,34,149,1,2016-07-31
56,34,0,1,2015-09-30
56,34,0,1,2015-10-31
56,34,0,1,2015-03-31
56,34,149,1,2016-02-29
56,34,149,1,2016-04-30
56,34,149,1,2017-02-28
56,34,0,1,2015-06-30
56,34,149,1,2016-01-31
56,34,149,1,2016-10-31
56,34,149,1,2017-01-31
56,34,149,1,2016-03-31
56,34,149,1,2015-12-31
56,34,149,1,2016-06-30
56,34,149,1,2015-11-30
56,34,149,1,2016-08-31
56,34,149,1,2016-11-30
57,36,180,1,2017-01-09
57,36,180,1,2017-02-09
58,34,149,1,2016-01-31
58,34,149,1,2016-12-31
58,34,0,1,2015-03-31
58,34,149,1,2016-06-30
58,34,149,1,2016-10-31
58,34,0,1,2015-08-31
58,34,0,1,2015-10-31
58,34,149,1,2016-03-31
58,34,149,1,2016-09-30
58,34,149,1,2016-07-31
58,34,149,1,2016-02-29
58,34,149,1,2017-01-31
58,34,149,1,2017-02-28
58,34,149,1,2015-11-30
58,34,149,1,2016-05-31
58,34,0,1,2015-09-30
58,34,149,1,2015-12-31
58,34,0,1,2015-07-31
58,34,149,1,2016-04-30
58,34,149,1,2016-11-30
58,34,0,1,2015-06-30
58,34,149,1,2016-08-31
59,40,149,1,2015-04-08
59,40,149,1,2015-02-08
59,40,149,1,2015-07-08
59,40,149,1,2015-09-09
59,36,180,0,2016-12-09
59,36,150,0,2015-09-11
59,40,149,1,2015-08-08
59,36,180,0,2017-01-23
59,40,149,1,2015-01-08
59,36,150,0,2016-04-03
59,40,149,1,2015-06-08
59,40,0,1,2015-05-08
59,40,149,1,2015-03-08
60,41,99,1,2017-02-17
60,41,99,1,2016-11-18
60,41,99,1,2017-01-17
60,41,99,1,2016-12-17
61,36,180,0,2017-01-12
61,36,180,0,2016-12-09
62,36,180,0,2016-05-04
62,36,180,0,2016-06-04
62,36,180,0,2016-11-09
62,36,180,0,2016-09-05
62,36,180,0,2016-07-05
62,36,180,0,2017-02-06
62,36,180,0,2017-01-08
62,36,180,0,2016-12-07
62,36,180,0,2016-08-06
62,36,180,0,2016-10-08
63,37,149,1,2015-04-20
63,40,149,1,2015-07-27
63,37,149,1,2016-10-01
63,40,149,1,2015-08-27
63,40,149,1,2015-05-27
63,37,149,1,2016-09-01
63,40,0,1,2015-04-27
63,37,149,1,2016-02-01
63,37,149,1,2015-12-28
63,37,149,1,2016-11-01
63,37,149,1,2016-08-01
63,37,149,1,2015-03-19
63,37,149,1,2017-01-01
63,40,149,1,2015-09-28
63,40,149,1,2015-06-27
63,37,149,1,2015-01-19
63,37,149,1,2015-02-19
63,37,149,1,2016-12-01
63,37,149,1,2017-02-01
64,38,149,0,2016-11-07
64,38,149,0,2016-06-06
64,36,180,0,2017-01-28
65,41,149,1,2015-05-14
65,41,149,1,2016-10-14
65,41,149,1,2016-11-14
65,41,149,1,2015-08-14
65,41,149,1,2016-04-14
65,41,149,1,2015-01-14
65,41,149,1,2016-03-14
65,41,149,1,2016-12-14
65,41,149,1,2015-02-14
65,41,149,1,2015-09-14
65,41,149,1,2016-02-14
65,41,149,1,2016-06-14
65,41,149,1,2016-07-14
65,41,149,1,2016-08-14
65,41,149,1,2015-04-14
65,41,149,1,2017-02-14
65,41,149,1,2016-09-14
65,41,149,1,2015-10-14
65,41,149,1,2017-01-14
65,41,149,1,2015-07-14
65,41,149,1,2016-05-14
65,41,149,1,2016-01-14
65,41,149,1,2015-03-14
65,41,149,1,2015-06-14
65,41,149,1,2015-11-14
65,41,149,1,2015-12-14
66,36,180,0,2016-05-02
66,36,180,0,2016-09-01
66,36,180,0,2016-06-03
66,36,180,0,2017-01-07
66,32,1788,0,2015-02-17
66,36,180,0,2016-10-06
66,36,180,0,2016-11-06
66,36,180,0,2016-07-03
66,36,180,0,2016-12-06
66,36,180,0,2016-08-04
67,41,149,1,2015-02-19
67,41,99,1,2016-06-23
67,41,99,1,2016-08-23
67,41,99,1,2017-01-23
67,41,99,1,2016-09-23
67,41,99,1,2016-05-23
67,41,149,1,2015-11-19
67,41,99,1,2016-03-23
67,41,99,1,2017-02-23
67,41,149,1,2016-02-24
67,41,99,1,2016-04-23
67,41,149,1,2015-01-19
67,41,149,1,2015-10-19
67,41,149,1,2015-08-19
67,41,149,1,2015-06-19
67,41,149,1,2015-12-19
67,41,149,1,2016-02-19
67,41,149,1,2016-01-19
67,41,149,1,2015-04-19
67,41,149,1,2015-05-19
67,41,149,1,2015-07-19
67,41,149,1,2015-09-19
67,41,99,1,2016-11-23
67,41,99,1,2016-02-24
67,41,149,1,2015-03-19
67,41,99,1,2016-07-23
67,41,99,1,2016-12-23
67,41,99,1,2016-10-23
68,28,150,0,2017-01-06
68,28,150,0,2017-02-09
69,39,149,1,2016-08-31
69,39,149,1,2015-09-30
69,39,149,1,2016-10-31
69,39,0,1,2015-04-30
69,39,149,1,2016-11-30
69,39,149,1,2015-06-30
69,39,149,1,2016-01-31
69,39,149,1,2015-08-31
69,39,149,1,2015-01-31
69,39,149,1,2016-09-30
69,39,149,1,2015-05-31
69,39,149,1,2015-11-02
69,39,149,1,2016-07-31
69,39,149,1,2015-07-31
69,39,149,1,2015-12-02
69,39,149,1,2016-12-31
69,39,149,1,2015-03-31
69,39,149,1,2017-01-31
69,39,149,1,2015-02-28
70,36,180,0,2017-01-27
70,36,150,0,2015-05-17
70,36,150,0,2015-06-09
70,36,180,0,2016-06-05
70,40,149,1,2015-03-03
70,36,180,0,2016-11-23
70,36,150,0,2015-04-17
70,36,150,0,2016-01-31
70,36,150,0,2015-09-04
70,40,149,1,2015-04-04
70,36,150,0,2015-07-30
70,36,180,0,2016-12-21
70,36,180,0,2016-09-14
70,36,150,0,2015-10-23
70,36,150,0,2016-03-02
70,36,180,0,2016-05-05
70,36,180,0,2016-10-22
70,40,149,1,2015-01-01
70,36,150,0,2015-12-31
70,36,180,0,2016-07-07
70,40,149,1,2015-02-02
70,36,150,0,2015-11-23
71,31,149,1,2016-05-31
71,31,149,1,2016-12-31
71,40,149,1,2015-07-25
71,31,149,1,2016-10-31
71,40,0,1,2015-04-24
71,40,149,1,2015-03-24
71,31,0,1,2015-08-31
71,31,149,1,2016-02-29
71,31,149,1,2017-01-31
71,31,149,1,2015-11-30
71,40,149,1,2015-05-24
71,31,0,1,2015-09-30
71,31,149,1,2016-08-31
71,31,149,1,2016-11-30
71,31,0,1,2015-10-31
71,31,149,1,2016-01-31
71,31,149,1,2016-03-31
71,31,149,1,2016-06-30
71,40,149,1,2015-06-24
71,31,149,1,2016-07-31
71,31,149,1,2016-04-30
71,31,0,1,2015-07-31
71,40,149,1,2015-02-24
71,31,149,1,2015-12-31
71,31,149,1,2016-09-30
71,31,149,1,2015-07-24
71,40,149,1,2015-01-24
72,41,99,1,2017-01-31
72,41,99,1,2017-02-28
72,41,99,1,2016-12-29
72,41,99,1,2016-12-29
72,41,99,1,2016-12-29
73,37,149,1,2016-08-01
73,37,149,1,2015-08-01
73,37,149,1,2015-09-01
73,37,149,1,2016-10-01
73,37,149,1,2017-01-01
73,37,149,1,2017-02-01
73,37,149,1,2015-12-01
73,37,149,1,2015-11-01
73,37,149,1,2016-11-01
73,37,149,1,2015-10-01
73,37,149,1,2016-12-01
73,37,149,1,2015-07-01
73,37,149,1,2015-02-28
73,37,149,1,2016-02-01
73,37,149,1,2015-04-01
73,37,0,1,2015-05-01
73,37,149,1,2016-09-01
73,37,149,1,2015-01-31
74,36,180,1,2016-10-08
74,36,150,0,2015-05-21
74,38,149,0,2015-02-18
74,36,150,0,2015-04-21
74,38,149,0,2015-03-21
74,36,150,0,2015-12-05
74,38,149,0,2015-10-01
74,36,180,0,2016-05-21
74,36,180,0,2016-06-22
74,36,150,0,2015-07-23
74,36,180,0,2016-07-24
74,36,180,1,2017-01-09
74,36,150,0,2015-11-03
74,36,150,0,2016-02-11
74,36,150,0,2015-06-21
74,36,180,0,2016-04-17
74,38,149,0,2015-01-11
74,36,180,1,2017-02-09
74,36,180,1,2016-11-09
74,36,180,1,2016-12-09
74,36,150,0,2016-01-04
74,36,180,0,2016-08-24
74,36,150,0,2015-08-25
75,41,99,1,2017-01-16
75,41,99,1,2016-12-16
75,41,99,1,2017-02-16
75,41,99,1,2016-11-17
76,13,894,0,2016-07-02
76,29,180,0,2017-01-27
76,35,0,0,2016-06-30
77,32,536,0,2016-08-08
77,32,536,0,2015-02-07
77,32,536,0,2015-08-05
77,32,536,0,2016-02-08
78,36,180,1,2017-01-31
78,35,0,0,2015-06-05
78,35,0,0,2016-10-27
78,38,149,0,2015-01-08
78,38,149,0,2016-01-23
78,38,149,0,2016-04-25
78,38,149,0,2015-02-08
78,38,149,0,2015-04-05
78,38,149,0,2016-02-26
79,39,149,1,2016-07-31
79,39,149,1,2016-10-31
79,39,149,1,2016-12-31
79,39,149,1,2015-12-02
79,39,149,1,2015-11-02
79,39,149,1,2017-01-11
79,39,149,1,2015-08-31
79,39,149,1,2016-08-31
79,39,149,1,2016-01-31
